curso,periodo,idade,cidade,renda_total,trabalha_atualmente,recebe_auxilio_da_insti,ja_pensou_em_desistir,motivo_de_desistencia,motivo_agrupado,risco_evasao,Perfil_IA
computacao,1,31 a 40 anos,Jardim,entre 1 e 2 salarios minimos,"sim, em periodo integral",ja solicitei e aguardo reposta,"sim, algumas vezes",falta de apoio da familia e dificuldade em conciliar trabalho e estudos,Dificuldade em conciliar trabalho e estudos,1,2
computacao,1,mais de 40 anos,Jardim,ate 1 salario minimo,"sim, em periodo integral",nao,nao nunca,,,0,2
computacao,1,15 a 18 anos,Jardim,nao informado,nao,nao,nao nunca,,,0,2
computacao,1,15 a 18 anos,Guia Lopes,mais de 6 salarios minimos,"sim, em periodo integral",nao,nao nunca,,,0,2
computacao,1,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,"nao, mas estou procurando",nao,nao nunca,,,0,1
computacao,1,19 a 24 anos,Jardim,entre 4 e 6 salarios minimos,nao,nao,"sim, algumas vezes",problemas de saude,problemas de saude,1,2
computacao,7,19 a 24 anos,Guia Lopes,entre 4 e 6 salarios minimos,"sim, em periodo integral",nao,nao nunca,,,0,2
computacao,1,19 a 24 anos,Bela Vista,nao informado,"nao, mas estou procurando",nao,nao nunca,,,0,2
computacao,1,15 a 18 anos,Bela Vista,nao informado,"sim, em periodo integral",nao,"sim, algumas vezes",dificulade de aprendizado,Dificuldade de aprendizado,1,2
computacao,1,15 a 18 anos,Bela Vista,entre 1 e 2 salarios minimos,"sim, em meio periodo",nao,"sim, algumas vezes",dificuldade de conciliar trabalho e estudos,Dificuldade em conciliar trabalho e estudos,1,2
computacao,1,19 a 24 anos,Jardim,nao informado,"nao, mas estou procurando",ja solicitei e aguardo reposta,nao nunca,,,0,2
computacao,3,31 a 40 anos,Jardim,nao informado,"nao, mas estou procurando",sim,"sim, algumas vezes",dificulade de aprendizado,Dificuldade de aprendizado,1,2
computacao,1,19 a 24 anos,Bela Vista,entre 4 e 6 salarios minimos,"sim, em periodo integral",nao,"sim, algumas vezes",dificulade de aprendizado,Dificuldade de aprendizado,1,2
computacao,1,15 a 18 anos,Jardim,nao informado,nao,nao,nao nunca,,,0,2
computacao,1,25 a 30 anos,Jardim,entre 1 e 2 salarios minimos,"sim, em periodo integral",nao,nao nunca,,,0,2
computacao,1,19 a 24 anos,Jardim,entre 2 e 4 salarios minimos,nao,nao,nao nunca,,,0,2
computacao,1,19 a 24 anos,Jardim,nao informado,"sim, em periodo integral",nao,nao nunca,,,0,2
computacao,1,15 a 18 anos,Guia Lopes,nao informado,"nao, mas estou procurando",nao,"sim, algumas vezes",dificulades financeiras,Dificuldades financeiras,1,2
computacao,1,15 a 18 anos,Jardim,nao informado,nao,nao,"sim, algumas vezes",dificuldades de conciliar trabalho e estudos,Dificuldade em conciliar trabalho e estudos,1,2
computacao,1,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,"nao, mas estou procurando",nao,nao nunca,,,0,1
computacao,1,15 a 18 anos,Bonito,mais de 6 salarios minimos,nao,nao,nao nunca,,,0,2
computacao,1,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,nao,nao,nao nunca,,,0,1
computacao,1,19 a 24 anos,Dourados,entre 4 e 6 salarios minimos,"sim, em meio periodo",nao,"sim, varias vezes",distancia,distancia,1,2
computacao,1,mais de 40 anos,Jardim,ate 1 salario minimo,"sim, em meio periodo",ja solicitei e aguardo reposta,"sim, algumas vezes",falta de apoio da familia,falta de apoio da familia,1,2
computacao,1,15 a 18 anos,Guia Lopes,entre 2 e 4 salarios minimos,"nao, mas estou procurando",nao,nao nunca,,,0,2
computacao,5,25 a 30 anos,Nioaque,entre 1 e 2 salarios minimos,"sim, em meio periodo",sim,"sim, algumas vezes",recebi uma proposta de emprego,recebi uma proposta de emprego,1,0
computacao,5,19 a 24 anos,Jardim,entre 2 e 4 salarios minimos,nao,nao,nao nunca,,,0,2
computacao,5,19 a 24 anos,Jardim,ate 1 salario minimo,"sim, em periodo integral",ja solicitei e aguardo reposta,"sim, algumas vezes",dificuldades financeiras,Dificuldades financeiras,1,2
computacao,5,19 a 24 anos,Jardim,entre 2 e 4 salarios minimos,"sim, em periodo integral",nao,"sim, algumas vezes",serviço militar,serviço militar,1,2
computacao,5,19 a 24 anos,Jardim,nao informado,"nao, mas estou procurando",ja solicitei e aguardo reposta,"sim, algumas vezes",problemas de saude,problemas de saude,1,2
computacao,5,19 a 24 anos,Jardim,mais de 6 salarios minimos,"sim, em periodo integral",nao,nao nunca,,,0,2
